Source,Weight_kg,Sex,Age_yrs,Length_cm,Month,Year
ATSEA,0.62,F,6,48,5,2012
ATSEA,0.8,F,13,55,5,2012
ATSEA,0.36,M,4,41,5,2012
ATSEA,0.47,M,5,42,5,2012
ATSEA,0.35,F,4,39,5,2012
ATSEA,0.26,M,3,36,5,2012
ATSEA,0.4,M,4,42,5,2012
ATSEA,0.75,F,8,52,5,2012
ATSEA,0.34,M,4,39,5,2012
ATSEA,0.41,M,5,43,5,2012
ATSEA,0.4,M,4,43,5,2012
ATSEA,0.53,M,6,47,5,2012
ATSEA,0.67,M,9,50,5,2012
ATSEA,0.57,F,5,47,5,2012
ATSEA,0.47,M,4,43,5,2012
ATSEA,0.59,M,6,47,5,2012
ATSEA,0.72,F,6,50,5,2012
ATSEA,0.44,M,4,44,5,2012
ATSEA,0.24,F,3,35,5,2012
ATSEA,0.42,F,4,42,5,2012
ATSEA,0.35,F,4,40,5,2012
ATSEA,0.39,F,4,40,5,2012
ATSEA,0.78,F,13,53,5,2012
ATSEA,0.34,F,3,40,5,2012
ATSEA,0.55,F,4,46,5,2012
ATSEA,0.61,F,4,47,5,2012
ATSEA,0.58,M,6,48,5,2012
ATSEA,0.82,F,6,51,5,2012
ATSEA,0.47,M,4,46,5,2012
ATSEA,0.69,M,9,51,5,2012
ATSEA,0.61,F,6,49,5,2012
ATSEA,0.26,M,3,36,5,2012
ATSEA,0.38,M,4,40,5,2012
ATSEA,0.68,M,4,51,5,2012
ATSEA,0.55,M,5,46,5,2012
ATSEA,0.68,M,11,50,5,2012
ATSEA,0.71,F,5,53,5,2012
ATSEA,0.33,M,4,38,5,2012
ATSEA,0.41,M,4,42,5,2012
ATSEA,0.47,M,4,43,5,2012
ATSEA,0.7,F,6,50,5,2012
ATSEA,0.72,F,7,50,5,2012
ATSEA,0.66,F,7,49,5,2012
ATSEA,0.38,M,4,41,5,2012
ATSEA,0.45,F,4,42,5,2012
ATSEA,0.58,F,6,47,5,2012
ATSEA,0.44,M,6,43,5,2012
ATSEA,0.34,M,3,39,5,2012
ATSEA,0.4,F,4,40,5,2012
ATSEA,0.82,M,8,52,5,2012
ATSEA,0.4,F,4,41,5,2012
ATSEA,1.44,F,18,62,5,2012
ATSEA,0.33,F,4,37,5,2012
ATSEA,0.34,F,4,38,5,2012
ATSEA,0.33,F,4,39,5,2012
ATSEA,0.37,M,4,40,5,2012
ATSEA,0.63,M,6,48,5,2012
ATSEA,0.73,F,7,51,5,2012
ATSEA,0.54,M,8,47,5,2012
ATSEA,0.61,F,6,49,5,2012
ATSEA,0.92,F,13,52,5,2012
ATSEA,0.45,M,4,42,5,2012
ATSEA,0.58,M,6,50,5,2012
ATSEA,0.45,F,4,42,5,2012
ATSEA,0.37,M,4,40,6,2012
ATSEA,0.44,F,4,41,6,2012
ATSEA,0.54,F,5,45,6,2012
ATSEA,0.36,M,4,39,6,2012
ATSEA,0.47,M,4,44,6,2012
ATSEA,0.47,M,4,44,6,2012
ATSEA,0.4,M,4,40,6,2012
ATSEA,0.37,M,4,39,6,2012
ATSEA,0.44,F,4,43,6,2012
ATSEA,0.35,M,4,40,5,2012
ATSEA,0.36,M,4,40,5,2012
ATSEA,0.38,M,6,41,5,2012
ATSEA,0.35,M,4,39,6,2012
ATSEA,0.38,M,4,40,6,2012
ATSEA,0.34,F,3,38,6,2012
ATSEA,0.44,M,3,41,5,2012
ATSEA,0.36,M,4,41,5,2012
ATSEA,0.46,M,4,44,5,2012
ATSEA,0.42,M,3,42,5,2012
ATSEA,0.49,F,4,45,5,2012
ATSEA,0.51,F,4,45,5,2012
ATSEA,0.33,M,4,39,5,2012
ATSEA,0.39,M,4,40,5,2012
ATSEA,0.43,M,4,42,5,2012
ATSEA,0.44,M,4,42,5,2012
ATSEA,0.49,M,3,45,5,2012
ATSEA,0.6,F,6,48,5,2012
ATSEA,0.46,M,5,43,5,2012
ATSEA,0.39,F,4,42,5,2012
ATSEA,0.6,F,6,48,5,2012
ATSEA,0.38,M,4,39,6,2012
ATSEA,0.38,M,4,41,6,2012
ATSEA,0.34,F,4,39,6,2012
ATSEA,0.6,M,6,48,5,2012
ATSEA,0.26,F,3,36,5,2012
ATSEA,0.65,F,8,48,5,2012
ATSEA,0.19,M,2,32,6,2012
ATSEA,0.2,M,3,34,6,2012
ATSEA,0.3,F,4,38,6,2012
ATSEA,0.16,M,2,30,5,2012
ATSEA,0.28,M,3,36,5,2012
ATSEA,0.31,F,3,37,5,2012
ATSEA,0.26,M,4,37,5,2012
ATSEA,0.3,M,3,37,5,2012
ATSEA,0.31,F,3,38,5,2012
ATSEA,0.33,M,3,39,5,2012
ATSEA,0.22,F,2,32,5,2012
ATSEA,0.39,F,4,40,5,2012
ATSEA,0.38,M,4,40,6,2012
ATSEA,0.31,F,3,38,6,2012
ATSEA,0.33,F,4,39,6,2012
ATSEA,0.42,F,4,41,5,2012
ATSEA,0.6,F,8,49,5,2012
ATSEA,0.64,F,8,51,5,2012
ATSEA,0.39,M,4,40,5,2012
ATSEA,0.43,M,4,43,5,2012
ATSEA,0.4,F,4,42,5,2012
ATSEA,0.65,M,5,47,5,2012
ATSEA,0.66,M,5,50,5,2012
ATSEA,0.32,F,4,39,5,2012
ATSEA,0.28,M,3,37,6,2012
ATSEA,0.65,M,8,48,6,2012
ATSEA,0.32,F,4,38,6,2012
ATSEA,0.32,M,4,37,6,2012
ATSEA,0.38,M,4,40,6,2012
ATSEA,0.46,F,4,42,6,2012
ATSEA,0.31,M,3,37,6,2012
ATSEA,0.42,F,4,41,6,2012
ATSEA,0.41,F,6,43,6,2012
ATSEA,0.34,M,4,40,5,2012
ATSEA,0.45,F,5,43,5,2012
ATSEA,0.55,F,4,46,5,2012
ATSEA,0.43,F,4,41,5,2012
ATSEA,0.42,F,3,42,5,2012
ATSEA,0.35,M,5,39,5,2012
