"age","year","doy","p_mature","model"
2,2018,278,0.523446104052254,"Spatial + temperature"
2,2019,182,0.0837108589046365,"Spatial + temperature"
2,2019,278,0.287826785652999,"Spatial + temperature"
2,2020,182,0.20751319545649,"Spatial + temperature"
2,2020,278,0.536688948428706,"Spatial + temperature"
2,2021,182,0.200962973437529,"Spatial + temperature"
2,2021,278,0.526653300815967,"Spatial + temperature"
2,2022,182,0.204430377359177,"Spatial + temperature"
2,2022,278,0.531998723401584,"Spatial + temperature"
2,2023,182,0.198059247832696,"Spatial + temperature"
2,2023,278,0.522118668082661,"Spatial + temperature"
2,2024,182,0.0864152764914711,"Spatial + temperature"
2,2024,278,0.295002447126331,"Spatial + temperature"
3,2003,182,0.645340970070364,"Spatial + temperature"
3,2003,278,0.889497930390745,"Spatial + temperature"
3,2004,182,0.633103297666194,"Spatial + temperature"
3,2004,278,0.884172915275685,"Spatial + temperature"
3,2005,182,0.649089707191127,"Spatial + temperature"
3,2005,278,0.891101422367956,"Spatial + temperature"
3,2006,182,0.505596318406257,"Spatial + temperature"
3,2006,278,0.818970368389741,"Spatial + temperature"
3,2007,182,0.597980443753241,"Spatial + temperature"
3,2007,278,0.868076574052667,"Spatial + temperature"
3,2008,182,0.281427443689701,"Spatial + temperature"
3,2008,278,0.634044859222389,"Spatial + temperature"
3,2009,182,0.46534668790619,"Spatial + temperature"
3,2009,278,0.793829488688185,"Spatial + temperature"
3,2010,182,0.651915531825309,"Spatial + temperature"
3,2010,278,0.89230172763749,"Spatial + temperature"
3,2011,182,0.416214325407334,"Spatial + temperature"
3,2011,278,0.759267424121737,"Spatial + temperature"
3,2012,182,0.345737151186496,"Spatial + temperature"
3,2012,278,0.700393126608752,"Spatial + temperature"
3,2013,182,0.428299154774115,"Spatial + temperature"
3,2013,278,0.768205668865925,"Spatial + temperature"
3,2014,182,0.615960254742639,"Spatial + temperature"
3,2014,278,0.876472048494274,"Spatial + temperature"
3,2015,182,0.64327065798234,"Spatial + temperature"
3,2015,278,0.888606861814181,"Spatial + temperature"
3,2016,182,0.26354768104053,"Spatial + temperature"
3,2016,278,0.612869641477305,"Spatial + temperature"
3,2017,182,0.610758724822924,"Spatial + temperature"
3,2017,278,0.874077627607717,"Spatial + temperature"
3,2018,182,0.644535746114975,"Spatial + temperature"
3,2018,278,0.889151827685434,"Spatial + temperature"
3,2019,182,0.396935302928892,"Spatial + temperature"
3,2019,278,0.744359086923008,"Spatial + temperature"
3,2020,182,0.652518661349946,"Spatial + temperature"
3,2020,278,0.892556984658568,"Spatial + temperature"
3,2021,182,0.644868634876721,"Spatial + temperature"
3,2021,278,0.889294982620552,"Spatial + temperature"
3,2022,182,0.647195853674152,"Spatial + temperature"
3,2022,278,0.89029294160815,"Spatial + temperature"
3,2023,182,0.63730116901304,"Spatial + temperature"
3,2023,278,0.886015349415617,"Spatial + temperature"
3,2024,182,0.40203948849596,"Spatial + temperature"
3,2024,278,0.748386723459578,"Spatial + temperature"
4,2003,182,0.910893694387741,"Spatial + temperature"
4,2003,278,0.978365563583599,"Spatial + temperature"
4,2004,182,0.904948332239917,"Spatial + temperature"
4,2004,278,0.976807444528561,"Spatial + temperature"
4,2005,182,0.911715300023451,"Spatial + temperature"
4,2005,278,0.97857967385675,"Spatial + temperature"
4,2006,182,0.849796399333168,"Spatial + temperature"
4,2006,278,0.96158023782913,"Spatial + temperature"
4,2007,182,0.891160544805203,"Spatial + temperature"
4,2007,278,0.973133775406714,"Spatial + temperature"
4,2008,182,0.683114216256546,"Spatial + temperature"
4,2008,278,0.905091402046232,"Spatial + temperature"
4,2009,182,0.826069038209672,"Spatial + temperature"
4,2009,278,0.954567075767165,"Spatial + temperature"
