"year","lower95","lowerhinge","median","upperhinge","upper95"
2019,91.44,182.88,256.032,320.04,401.46732
2020,107.57916,237.744,290.7792,338.328,420.624
2021,117.0432,210.312,256.032,301.752,384.048
2022,146.304,256.032,292.608,329.184,398.6784
2023,146.304,246.888,288.9504,328.7268,384.048
