yr,fishery_independent_cpue,author,model,value,model_type,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2002,Yes,Helser et al.,,SB million mt,,,,,,,,,,,,,,0.852,1.177,1.275,1.242,1.21,1.085,0.985,1.044,1.18,1.205,1.193,1.861,2.316,2.164,2.086,2.563,2.418,2.192,2.005,1.944,1.581,1.369,1.178,0.927,0.831,0.826,0.714,0.561,0.482,0.415,,,,,,,,,,,,,,,,,,,,,,,
2004,Yes,Helser et al.,q=1,2+ biomass million mt,,,,,,,,4.912,4.974,4.913,4.961,5.099,4.818,4.503,5.892,5.455,4.891,4.744,4.08,3.588,3.449,4.273,3.904,3.006,6.419,6.719,5.876,4.962,7.337,6.096,5.153,4.984,4.731,3.688,3.376,2.87,2.198,2.08,2.131,1.833,1.509,1.391,1.317,2.855,2.696,,,,,,,,,,,,,,,,,,,,,
2004,Yes,Helser et al.,q=.6,2+ biomass million mt,,,,,,,,7.425,7.856,8.086,8.397,8.886,8.597,8.132,10.456,9.751,8.846,8.614,7.551,6.706,6.506,7.851,7.169,5.539,10.656,11.03,9.661,8.195,11.256,9.305,7.897,7.475,6.989,5.493,4.941,4.193,3.293,3.044,3.076,2.688,2.309,2.254,2.214,4.441,4.161,,,,,,,,,,,,,,,,,,,,,
2004,Yes,Helser et al.,q=1,SB million mt,,,,,,,,2.538,2.532,2.498,2.532,2.548,2.449,2.447,2.746,2.739,2.571,2.405,2.135,1.904,1.941,2.041,2.005,1.875,2.684,3.23,3.006,2.84,3.309,3.046,2.749,2.503,2.403,1.966,1.714,1.48,1.193,1.061,1.04,0.915,0.755,0.716,0.746,1.164,1.283,,,,,,,,,,,,,,,,,,,,,
2004,Yes,Helser et al.,q=.6,SB million mt,,,,,,,,3.857,3.971,4.08,4.258,4.411,4.353,4.398,4.908,4.915,4.658,4.396,3.968,3.573,3.655,3.806,3.713,3.381,4.572,5.361,4.976,4.64,5.205,4.707,4.225,3.818,3.614,2.955,2.563,2.204,1.81,1.591,1.549,1.376,1.183,1.18,1.242,1.878,2.016,,,,,,,,,,,,,,,,,,,,,
2005,Yes,Helser et al,q=1,2+ biomass million mt,,,,,,,,4.813,4.875,4.817,4.868,5.01,4.736,4.429,5.815,5.385,4.829,4.687,4.031,3.545,3.408,4.226,3.862,2.973,6.357,6.655,5.819,4.914,7.272,6.041,5.106,4.94,4.691,3.656,3.348,2.846,2.178,2.06,2.109,1.813,1.495,1.371,1.272,2.819,2.71,2.535,,,,,,,,,,,,,,,,,,,,
2005,Yes,Helser et al,q=.6,2+ biomass million mt,,,,,,,,7.008,7.423,7.648,7.961,8.448,8.186,7.758,10.056,9.39,8.524,8.317,7.292,6.48,6.292,7.63,6.976,5.395,10.481,10.865,9.521,8.078,11.154,9.229,7.836,7.435,6.965,5.478,4.939,4.198,3.302,3.056,3.086,2.695,2.315,2.243,2.151,4.474,4.297,4.024,,,,,,,,,,,,,,,,,,,,
2005,Yes,Helser et al,q=1,SB million mt,,,,,,,,2.489,2.482,2.449,2.484,2.502,2.405,2.407,2.706,2.703,2.538,2.375,2.108,1.88,1.918,2.018,1.982,1.855,2.657,3.198,2.977,2.812,3.278,3.018,2.724,2.481,2.382,1.948,1.698,1.467,1.182,1.05,1.029,0.904,0.747,0.705,0.729,1.149,1.289,1.248,,,,,,,,,,,,,,,,,,,,
2005,Yes,Helser et al,q=.6,SB million mt,,,,,,,,3.643,3.751,3.856,4.034,4.188,4.139,4.196,4.707,4.726,4.485,4.238,3.828,3.45,3.534,3.691,3.609,3.298,4.486,5.276,4.9,4.576,5.149,4.665,4.191,3.794,3.598,2.945,2.559,2.204,1.813,1.595,1.553,1.379,1.185,1.174,1.226,1.889,2.074,2.015,,,,,,,,,,,,,,,,,,,,
2006,Yes,Helser et al,q=1,2+ biomass million mt,,,,,,,,7.832,7.704,7.521,7.454,7.459,7.5,7.659,9.498,9.609,9.038,9.514,8.749,8.175,7.376,8.722,7.968,7.248,11.692,11.02,9.558,8.215,9.503,8.425,7.282,6.833,6.041,4.981,4.413,3.772,2.962,2.671,2.505,2.25,2.024,1.83,1.892,3.834,3.712,3.448,2.795,2.488,,,,,,,,,,,,,,,,,,
