"age","year","M2"
"6","2007",0
"7","2007",0
"8","2007",0
"9","2007",0
"10","2007",0
"11","2007",0
"12","2007",0
"13","2007",0
"14","2007",0
"15","2007",0
"16","2007",0
"17","2007",0
"18","2007",0
"19","2007",0
"20","2007",0
"1","2008",0.440011099749198
"2","2008",0.0498156431752748
"3","2008",0.00388687505943425
"4","2008",0.00308424131278954
"5","2008",0.00595251693806456
"6","2008",0
"7","2008",0
"8","2008",0
"9","2008",0
"10","2008",0
"11","2008",0
"12","2008",0
"13","2008",0
"14","2008",0
"15","2008",0
"16","2008",0
"17","2008",0
"18","2008",0
"19","2008",0
"20","2008",0
"1","2009",0.326730357464202
"2","2009",0.0075841070595934
"3","2009",0.0027036273741533
"4","2009",0.00247396896811395
"5","2009",0.00388113653644523
"6","2009",0
"7","2009",0
"8","2009",0
"9","2009",0
"10","2009",0
"11","2009",0
"12","2009",0
"13","2009",0
"14","2009",0
"15","2009",0
"16","2009",0
"17","2009",0
"18","2009",0
"19","2009",0
"20","2009",0
"1","2010",0.448621225641183
"2","2010",0.0101226901614202
"3","2010",0.00281660199164171
"4","2010",0.00246506479707629
"5","2010",0.00413640705713582
"6","2010",0
"7","2010",0
"8","2010",0
"9","2010",0
"10","2010",0
"11","2010",0
"12","2010",0
"13","2010",0
"14","2010",0
"15","2010",0
"16","2010",0
"17","2010",0
"18","2010",0
"19","2010",0
"20","2010",0
"1","2011",0.49551595816458
"2","2011",0.032782212888461
"3","2011",0.0019478283510585
"4","2011",0.00188656685758723
"5","2011",0.00274186907642338
"6","2011",0
"7","2011",0
"8","2011",0
"9","2011",0
"10","2011",0
"11","2011",0
"12","2011",0
"13","2011",0
"14","2011",0
"15","2011",0
"16","2011",0
"17","2011",0
"18","2011",0
"19","2011",0
"20","2011",0
"1","2012",0.608671218765043
"2","2012",0.0162610205050496
"3","2012",0.0034048936048268
"4","2012",0.00276741721803121
"5","2012",0.00519440531304939
"6","2012",0
"7","2012",0
"8","2012",0
"9","2012",0
"10","2012",0
"11","2012",0
"12","2012",0
"13","2012",0
"14","2012",0
"15","2012",0
"16","2012",0
"17","2012",0
"18","2012",0
"19","2012",0
"20","2012",0
"1","2013",0.438869204505712
"2","2013",0.0145585188144317
"3","2013",0.00803100016617294
"4","2013",0.00261433347163067
"5","2013",0.0153937934070502
"6","2013",0
"7","2013",0
"8","2013",0
"9","2013",0
"10","2013",0
"11","2013",0
"12","2013",0
"13","2013",0
"14","2013",0
"15","2013",0
"16","2013",0
"17","2013",0
"18","2013",0
"19","2013",0
"20","2013",0
"1","2014",0.682731465035931
"2","2014",0.0122438556859061
"3","2014",0.00737399279520812
"4","2014",0.00794119290595587
"5","2014",0.00958731631967272
"6","2014",0
"7","2014",0
"8","2014",0
"9","2014",0
"10","2014",0
"11","2014",0
"12","2014",0
"13","2014",0
"14","2014",0
"15","2014",0
"16","2014",0
