"year","lower95","lowerhinge","median","upperhinge","upper95"
2021,226.22256,334.6704,402.336,548.64,1166.59152
2022,237.744,345.6432,384.048,440.7408,640.08
2023,235.9152,347.472,387.7056,457.2,867.537
2024,320.04,384.048,426.1104,548.64,1430.67024
2025,197.5104,338.328,431.5968,627.2784,3108.96
