Source,Weight_kg,Sex,Age_yrs,Month,Year
CAN_polish,0.91,U,12,9,1982
CAN_polish,0.91,U,12,9,1982
CAN_polish,0.93,U,12,9,1982
CAN_polish,0.93,U,12,9,1982
CAN_polish,0.93,U,12,9,1982
CAN_polish,0.94,U,12,9,1982
CAN_polish,0.95,U,12,9,1982
CAN_polish,0.96,U,12,9,1982
CAN_polish,0.96,U,12,9,1982
CAN_polish,0.98,U,12,9,1982
CAN_polish,0.98,U,12,9,1982
CAN_polish,0.98,U,12,9,1982
CAN_polish,0.98,U,12,9,1982
CAN_polish,0.98,U,12,9,1982
CAN_polish,0.98,U,12,9,1982
CAN_polish,0.99,U,12,9,1982
CAN_polish,0.99,U,12,9,1982
CAN_polish,0.99,U,12,9,1982
CAN_polish,0.99,U,12,9,1982
CAN_polish,1,U,12,9,1982
CAN_polish,1,U,12,9,1982
CAN_polish,1,U,12,9,1982
CAN_polish,1.03,U,12,9,1982
CAN_polish,1.03,U,12,9,1982
CAN_polish,1.04,U,12,9,1982
CAN_polish,1.04,U,12,9,1982
CAN_polish,1.06,U,12,9,1982
CAN_polish,1.06,U,12,9,1982
CAN_polish,1.07,U,12,9,1982
CAN_polish,1.08,U,12,9,1982
CAN_polish,1.08,U,12,9,1982
CAN_polish,1.15,U,12,9,1982
CAN_polish,1.15,U,12,9,1982
CAN_polish,1.18,U,12,9,1982
CAN_polish,1.18,U,12,9,1982
CAN_polish,1.23,U,12,9,1982
CAN_polish,1.23,U,12,9,1982
CAN_polish,1.24,U,12,9,1982
CAN_polish,1.25,U,12,9,1982
CAN_polish,1.27,U,12,9,1982
CAN_polish,1.32,U,12,9,1982
CAN_polish,1.43,U,12,9,1982
CAN_polish,1.56,U,12,9,1982
CAN_polish,1.59,U,12,9,1982
CAN_polish,1.77,U,12,9,1982
CAN_polish,0.74,U,13,9,1982
CAN_polish,0.76,U,13,9,1982
CAN_polish,0.78,U,13,9,1982
CAN_polish,0.79,U,13,9,1982
CAN_polish,0.98,U,13,9,1982
CAN_polish,1.03,U,13,9,1982
CAN_polish,1.04,U,13,9,1982
CAN_polish,1.28,U,13,9,1982
CAN_polish,1.88,U,13,9,1982
CAN_polish,2.11,U,13,9,1982
CAN_polish,2.36,U,13,9,1982
CAN_polish,1.01,U,14,9,1982
CAN_polish,1.03,U,14,9,1982
CAN_polish,1.04,U,14,9,1982
CAN_polish,1.04,U,14,9,1982
CAN_polish,1.05,U,14,9,1982
CAN_polish,1.23,U,14,9,1982
CAN_polish,0.51,U,3,8,1989
CAN_polish,1.225,U,3,8,1989
CAN_polish,0.421,U,5,8,1989
CAN_polish,0.463,U,5,8,1989
CAN_polish,0.467,U,5,8,1989
CAN_polish,0.47,U,5,8,1989
CAN_polish,0.477,U,5,8,1989
CAN_polish,0.481,U,5,8,1989
CAN_polish,0.492,U,5,8,1989
CAN_polish,0.496,U,5,8,1989
CAN_polish,0.497,U,5,8,1989
CAN_polish,0.502,U,5,8,1989
CAN_polish,0.506,U,5,8,1989
CAN_polish,0.511,U,5,8,1989
CAN_polish,0.513,U,5,8,1989
CAN_polish,0.523,U,5,8,1989
CAN_polish,0.525,U,5,8,1989
CAN_polish,0.525,U,5,8,1989
CAN_polish,0.535,U,5,8,1989
CAN_polish,0.542,U,5,8,1989
CAN_polish,0.548,U,5,8,1989
CAN_polish,0.563,U,5,8,1989
CAN_polish,0.564,U,5,8,1989
CAN_polish,0.591,U,5,8,1989
CAN_polish,0.595,U,5,8,1989
CAN_polish,0.597,U,5,8,1989
CAN_polish,0.604,U,5,8,1989
CAN_polish,0.615,U,5,8,1989
CAN_polish,0.62,U,5,8,1989
CAN_polish,0.621,U,5,8,1989
CAN_polish,0.65,U,5,8,1989
CAN_polish,0.66,U,5,8,1989
CAN_polish,0.662,U,5,8,1989
