"Source","Weight_kg","Sex","Age_yrs","Length_cm","Month","Year"
"ATSEA",0.59,"F",6,46,6,2020
"ATSEA",0.56,"F",6,45,6,2020
"ATSEA",0.54,"M",4,45,6,2020
"ATSEA",0.58,"F",10,47,6,2020
"ATSEA",0.87,"F",6,55,5,2020
"ATSEA",0.4,"M",4,42,5,2020
"ATSEA",0.5,"F",6,45,5,2020
"ATSEA",0.6,"F",6,47,6,2020
"ATSEA",0.49,"F",6,44,5,2020
"ATSEA",0.45,"F",4,43,5,2020
"ATSEA",0.53,"F",6,46,6,2020
"ATSEA",0.46,"M",10,43,5,2020
"ATSEA",0.4,"F",4,41,5,2020
"ATSEA",0.43,"M",6,44,5,2020
"ATSEA",0.46,"F",4,43,5,2020
"ATSEA",0.5,"F",6,45,5,2020
"ATSEA",0.41,"F",3,40,5,2020
"ATSEA",0.5,"F",4,44,6,2020
"ATSEA",0.61,"M",10,47,5,2020
"ATSEA",0.47,"M",11,45,5,2020
"ATSEA",0.6,"M",5,48,5,2020
"ATSEA",0.34,"F",4,40,6,2020
"ATSEA",0.47,"M",4,43,6,2020
"ATSEA",0.64,"M",12,47,6,2020
"ATSEA",0.5,"F",4,44,6,2020
"ATSEA",0.48,"F",6,45,6,2020
"ATSEA",0.46,"F",6,43,5,2020
"ATSEA",0.54,"F",4,46,5,2020
"ATSEA",0.5,"M",10,45,6,2020
"ATSEA",0.47,"M",6,43,6,2020
"ATSEA",0.47,"F",3,44,5,2020
"ATSEA",0.47,"F",7,43,5,2020
"ATSEA",0.5,"F",4,43,6,2020
"ATSEA",0.42,"M",3,41,6,2020
"ATSEA",0.44,"F",4,42,5,2020
"ATSEA",0.36,"M",3,40,6,2020
"ATSEA",0.5,"M",4,43,11,2020
"ATSEA",0.61,"M",4,45,10,2020
"ATSEA",0.54,"F",6,46,11,2020
"ATSEA",0.54,"M",6,42,11,2020
"ATSEA",0.62,"F",7,46,10,2020
"ATSEA",0.69,"M",6,46,10,2020
"ATSEA",0.51,"M",4,43,11,2020
"ATSEA",0.45,"M",4,41,11,2020
"ATSEA",0.64,"M",4,46,11,2020
"ATSEA",0.55,"F",4,43,11,2020
"ATSEA",0.74,"M",10,47,10,2020
"ATSEA",0.56,"M",3,44,11,2020
"ATSEA",0.59,"M",6,44,9,2020
"ATSEA",0.61,"F",4,46,11,2020
"ATSEA",0.48,"M",4,42,11,2020
"ATSEA",0.6,"F",4,45,10,2020
"ATSEA",0.52,"M",4,44,11,2020
"ATSEA",0.51,"F",3,43,11,2020
"ATSEA",0.7,"F",11,49,11,2020
"ATSEA",0.48,"M",3,43,5,2020
"ATSEA",0.55,"M",6,47,5,2020
"ATSEA",0.51,"F",4,44,5,2020
"ATSEA",0.44,"F",4,45,5,2020
"ATSEA",0.36,"M",3,41,5,2020
"ATSEA",0.42,"M",6,42,5,2020
"ATSEA",0.42,"F",3,41,5,2020
"ATSEA",0.54,"M",6,44,6,2020
"ATSEA",0.48,"M",8,46,6,2020
"ATSEA",0.52,"F",6,45,6,2020
"ATSEA",0.51,"F",4,45,5,2020
"ATSEA",0.62,"F",12,44,5,2020
"ATSEA",0.5,"M",10,45,6,2020
"ATSEA",0.45,"M",6,44,6,2020
"ATSEA",1.23,"F",10,58,6,2020
"ATSEA",0.45,"M",12,43,6,2020
"ATSEA",0.44,"F",6,43,5,2020
"ATSEA",0.54,"F",6,44,5,2020
"ATSEA",0.48,"M",6,44,5,2020
"ATSEA",0.43,"M",6,43,5,2020
"ATSEA",0.64,"M",10,48,5,2020
"ATSEA",0.54,"M",6,47,6,2020
"ATSEA",0.38,"M",4,40,5,2020
"ATSEA",0.5,"M",9,43,5,2020
"ATSEA",0.48,"F",6,44,5,2020
"ATSEA",0.5,"M",4,44,6,2020
