Source,Weight_kg,Sex,Age_yrs,Length_cm,Month,Year
ATSEA,0.62,M,5,48,5,2011
ATSEA,0.5,F,6,44,5,2011
ATSEA,0.38,M,3,40,5,2011
ATSEA,0.88,M,9,55,5,2011
ATSEA,0.44,M,5,43,5,2011
ATSEA,0.54,M,5,46,5,2011
ATSEA,0.6,M,5,47,5,2011
ATSEA,0.71,F,7,49,5,2011
ATSEA,0.74,F,12,50,5,2011
ATSEA,0.78,M,12,52,5,2011
ATSEA,0.77,M,13,53,5,2011
ATSEA,0.54,F,7,46,5,2011
ATSEA,0.6,F,6,49,5,2011
ATSEA,0.31,M,3,39,5,2011
ATSEA,0.53,M,6,45,5,2011
ATSEA,0.58,M,5,47,5,2011
ATSEA,0.62,F,12,50,5,2011
ATSEA,0.82,F,11,55,5,2011
ATSEA,0.47,M,5,44,5,2011
ATSEA,0.52,F,5,43,5,2011
ATSEA,0.54,F,5,46,5,2011
ATSEA,0.67,M,8,49,5,2011
ATSEA,0.36,F,4,41,5,2011
ATSEA,0.32,M,3,39,5,2011
ATSEA,0.4,M,3,41,5,2011
ATSEA,0.55,M,7,46,5,2011
ATSEA,0.48,F,5,44,5,2011
ATSEA,0.83,F,12,52,5,2011
ATSEA,0.28,F,3,37,6,2011
ATSEA,0.26,M,3,36,6,2011
ATSEA,0.3,M,3,39,6,2011
ATSEA,0.3,F,3,39,6,2011
ATSEA,0.26,M,3,37,6,2011
ATSEA,0.26,M,3,37,6,2011
ATSEA,0.39,F,4,38,6,2011
ATSEA,0.45,F,5,44,6,2011
ATSEA,0.78,M,12,52,6,2011
ATSEA,0.38,F,3,39,6,2011
ATSEA,0.39,M,3,41,6,2011
ATSEA,0.43,M,5,42,6,2011
ATSEA,0.43,M,6,42,6,2011
ATSEA,0.52,M,6,45,6,2011
ATSEA,0.87,F,9,53,6,2011
ATSEA,0.55,M,6,44,6,2011
ATSEA,0.75,F,6,50,6,2011
ATSEA,0.82,F,3,50,6,2011
ATSEA,0.44,M,5,43,5,2011
ATSEA,0.56,M,5,47,5,2011
ATSEA,0.59,F,5,50,5,2011
ATSEA,0.23,F,3,35,5,2011
ATSEA,0.27,M,3,38,5,2011
ATSEA,0.32,F,3,40,5,2011
ATSEA,0.53,M,6,45,5,2011
ATSEA,0.52,M,6,45,5,2011
ATSEA,0.71,F,7,51,5,2011
ATSEA,0.31,M,3,37,6,2011
ATSEA,0.36,F,3,39,6,2011
ATSEA,0.32,F,3,39,6,2011
ATSEA,0.6,M,6,44,5,2011
ATSEA,0.72,F,5,50,5,2011
ATSEA,0.8,F,18,52,5,2011
ATSEA,0.45,M,5,43,5,2011
ATSEA,0.42,F,4,42,5,2011
ATSEA,0.98,F,11,55,5,2011
ATSEA,0.39,M,3,40,5,2011
ATSEA,0.41,M,5,42,5,2011
ATSEA,0.44,F,4,43,5,2011
ATSEA,0.27,M,3,37,5,2011
ATSEA,0.43,M,5,43,5,2011
ATSEA,0.54,F,6,46,5,2011
ATSEA,0.3,M,3,35,6,2011
ATSEA,0.32,M,3,38,6,2011
ATSEA,0.29,F,3,35,6,2011
ATSEA,0.32,M,4,38,6,2011
ATSEA,0.47,M,5,43,6,2011
ATSEA,0.46,M,7,43,6,2011
ATSEA,0.36,F,3,37,5,2011
ATSEA,0.24,M,3,35,5,2011
ATSEA,0.28,M,3,37,5,2011
ATSEA,0.24,F,3,33,5,2011
ATSEA,0.23,F,3,35,5,2011
ATSEA,0.27,F,3,36,5,2011
ATSEA,0.68,M,10,50,5,2011
ATSEA,0.69,M,10,51,5,2011
ATSEA,1.04,M,7,60,5,2011
ATSEA,0.31,M,3,38,5,2011
ATSEA,0.23,F,3,35,5,2011
ATSEA,0.28,F,3,37,5,2011
ATSEA,0.55,M,6,44,5,2011
ATSEA,0.51,F,6,43,5,2011
ATSEA,0.48,F,5,44,5,2011
ATSEA,0.85,M,12,53,5,2011
ATSEA,0.43,F,3,40,5,2011
ATSEA,0.64,F,5,49,5,2011
ATSEA,0.54,M,5,46,5,2011
ATSEA,0.55,M,6,47,5,2011
ATSEA,0.64,M,5,47,5,2011
ATSEA,0.26,F,3,36,6,2011
ATSEA,0.33,M,3,37,6,2011
ATSEA,0.31,M,3,37,6,2011
ATSEA,0.27,F,3,36,6,2011
ATSEA,0.26,F,4,37,6,2011
ATSEA,0.32,F,3,39,6,2011
ATSEA,0.26,M,3,36,6,2011
ATSEA,0.33,M,3,37,6,2011
ATSEA,0.28,F,3,36,6,2011
ATSEA,0.29,M,3,37,6,2011
ATSEA,0.23,F,3,35,6,2011
ATSEA,0.27,F,3,36,6,2011
ATSEA,0.25,M,3,35,6,2011
ATSEA,0.31,M,3,37,6,2011
ATSEA,0.29,F,3,36,6,2011
ATSEA,0.42,F,5,43,5,2011
ATSEA,0.46,F,5,43,5,2011
ATSEA,0.62,M,5,47,5,2011
ATSEA,0.38,M,4,37,5,2011
ATSEA,0.75,M,6,51,5,2011
ATSEA,0.47,F,6,44,5,2011
ATSEA,0.41,M,6,47,5,2011
ATSEA,0.48,F,6,44,5,2011
ATSEA,0.57,F,6,46,5,2011
ATSEA,0.3,F,4,38,5,2011
ATSEA,0.48,M,3,44,5,2011
ATSEA,0.48,M,5,47,5,2011
ATSEA,0.36,F,3,40,5,2011
ATSEA,0.34,M,3,38,5,2011
ATSEA,0.38,M,3,41,5,2011
ATSEA,0.45,M,6,44,5,2011
ATSEA,0.6,M,8,47,5,2011
ATSEA,0.58,F,6,46,5,2011
ATSEA,0.64,M,6,48,5,2011
ATSEA,0.68,M,12,50,5,2011
ATSEA,0.48,F,3,45,5,2011
ATSEA,0.72,M,6,50,5,2011
ATSEA,0.67,F,7,50,5,2011
ATSEA,1.13,F,14,61,5,2011
ATSEA,0.47,M,6,44,5,2011
ATSEA,0.53,F,6,46,5,2011
ATSEA,0.98,M,13,59,5,2011
ATSEA,0.66,F,6,50,5,2011
ATSEA,0.7,F,12,51,5,2011
ATSEA,0.48,M,5,43,5,2011
ATSEA,0.67,M,5,49,5,2011
ATSEA,0.38,F,3,40,5,2011
ATSEA,0.46,F,5,43,5,2011
ATSEA,0.5,F,12,43,5,2011
ATSEA,1.12,F,6,58,5,2011
ATSEA,0.54,F,5,47,5,2011
ATSEA,0.51,M,6,44,5,2011
ATSEA,0.59,M,5,48,5,2011
ATSEA,0.63,M,14,50,5,2011
ATSEA,0.62,M,6,46,5,2011
ATSEA,0.56,M,6,45,5,2011
ATSEA,0.59,M,5,47,5,2011
ATSEA,0.79,M,10,52,5,2011
ATSEA,0.97,M,12,54,5,2011
ATSEA,0.55,M,6,46,5,2011
ATSEA,0.59,F,5,45,5,2011
ATSEA,1.31,F,12,61,5,2011
ATSEA,0.44,M,5,42,5,2011
ATSEA,0.49,M,5,42,5,2011
ATSEA,0.32,F,3,37,5,2011
ATSEA,0.27,M,3,37,5,2011
ATSEA,0.46,M,6,42,5,2011
ATSEA,0.61,F,5,46,5,2011
ATSEA,0.49,F,5,44,5,2011
ATSEA,0.74,F,9,51,5,2011
ATSEA,0.87,F,13,54,5,2011
ATSEA,0.59,M,6,47,5,2011
ATSEA,0.63,M,6,47,5,2011
ATSEA,0.63,F,6,47,5,2011
ATSEA,0.73,F,14,50,5,2011
ATSEA,0.64,M,6,48,5,2011
ATSEA,0.76,M,13,51,5,2011
ATSEA,0.54,M,4,47,5,2011
ATSEA,0.75,M,12,51,5,2011
ATSEA,0.78,M,13,52,5,2011
ATSEA,0.55,M,5,47,5,2011
ATSEA,0.29,M,3,38,5,2011
ATSEA,0.29,F,3,38,5,2011
ATSEA,0.46,F,5,44,5,2011
ATSEA,0.57,F,6,48,5,2011
ATSEA,1.02,M,8,56,5,2011
ATSEA,0.29,F,3,37,5,2011
ATSEA,0.29,F,3,37,5,2011
ATSEA,0.33,F,3,39,5,2011
ATSEA,0.3,M,3,36,5,2011
ATSEA,0.27,M,3,36,5,2011
ATSEA,0.31,F,3,38,5,2011
ATSEA,0.53,M,6,46,5,2011
ATSEA,0.54,F,5,45,5,2011
ATSEA,0.67,F,6,49,5,2011
ATSEA,0.6,M,6,47,5,2011
ATSEA,0.46,F,6,46,5,2011
ATSEA,0.67,F,12,49,5,2011
ATSEA,0.5,M,5,45,5,2011
ATSEA,0.66,M,6,49,5,2011
ATSEA,0.54,F,6,45,5,2011
ATSEA,0.54,M,6,44,5,2011
ATSEA,0.48,M,13,49,5,2011
ATSEA,0.38,F,3,40,5,2011
ATSEA,0.47,M,5,43,5,2011
ATSEA,0.35,F,3,38,5,2011
ATSEA,0.39,F,3,41,5,2011
