"Source","Weight_kg","Sex","Age_yrs","Length_cm","Month","Year"
"Acoustic U.S.",0.14,"M",1,28,"7","2021"
"Acoustic U.S.",0.19,"M",1,29,"7","2021"
"Acoustic U.S.",0.188,"M",2,33,"7","2021"
"Acoustic U.S.",0.078,"F",1,24,"7","2021"
"Acoustic U.S.",0.088,"F",1,24,"7","2021"
"Acoustic U.S.",0.094,"F",1,24,"7","2021"
"Acoustic U.S.",0.094,"F",1,24,"7","2021"
"Acoustic U.S.",0.086,"F",1,25,"7","2021"
"Acoustic U.S.",0.092,"F",1,25,"7","2021"
"Acoustic U.S.",0.092,"F",1,25,"7","2021"
"Acoustic U.S.",0.094,"F",1,25,"7","2021"
"Acoustic U.S.",0.096,"F",1,25,"7","2021"
"Acoustic U.S.",0.1,"F",1,25,"7","2021"
"Acoustic U.S.",0.104,"F",1,25,"7","2021"
"Acoustic U.S.",0.104,"F",1,25,"7","2021"
"Acoustic U.S.",0.11,"F",1,25,"7","2021"
"Acoustic U.S.",0.116,"F",1,25,"7","2021"
"Acoustic U.S.",0.096,"F",1,26,"7","2021"
"Acoustic U.S.",0.098,"F",1,26,"7","2021"
"Acoustic U.S.",0.1,"F",1,26,"7","2021"
"Acoustic U.S.",0.102,"F",1,26,"7","2021"
"Acoustic U.S.",0.102,"F",1,26,"7","2021"
"Acoustic U.S.",0.104,"F",1,26,"7","2021"
"Acoustic U.S.",0.106,"F",1,26,"7","2021"
"Acoustic U.S.",0.11,"F",1,26,"7","2021"
"Acoustic U.S.",0.112,"F",1,26,"7","2021"
"Acoustic U.S.",0.106,"F",1,27,"7","2021"
"Acoustic U.S.",0.108,"F",1,27,"7","2021"
"Acoustic U.S.",0.112,"F",1,27,"7","2021"
"Acoustic U.S.",0.118,"F",1,27,"7","2021"
"Acoustic U.S.",0.12,"F",1,27,"7","2021"
"Acoustic U.S.",0.122,"F",1,27,"7","2021"
"Acoustic U.S.",0.124,"F",1,27,"7","2021"
"Acoustic U.S.",0.124,"F",1,28,"7","2021"
"Acoustic U.S.",0.126,"F",1,28,"7","2021"
"Acoustic U.S.",0.126,"F",1,28,"7","2021"
"Acoustic U.S.",0.136,"F",1,28,"7","2021"
"Acoustic U.S.",0.158,"F",1,29,"7","2021"
"Acoustic U.S.",0.192,"F",1,32,"7","2021"
"Acoustic U.S.",0.252,"F",2,35,"7","2021"
"Acoustic U.S.",0.088,"M",1,24,"7","2021"
"Acoustic U.S.",0.096,"M",1,24,"7","2021"
"Acoustic U.S.",0.098,"M",1,24,"7","2021"
"Acoustic U.S.",0.09,"M",1,25,"7","2021"
"Acoustic U.S.",0.1,"M",1,25,"7","2021"
"Acoustic U.S.",0.1,"M",1,25,"7","2021"
"Acoustic U.S.",0.11,"M",1,25,"7","2021"
"Acoustic U.S.",0.102,"M",1,26,"7","2021"
"Acoustic U.S.",0.104,"M",1,26,"7","2021"
"Acoustic U.S.",0.108,"M",1,26,"7","2021"
"Acoustic U.S.",0.112,"M",1,26,"7","2021"
"Acoustic U.S.",0.114,"M",1,27,"7","2021"
"Acoustic U.S.",0.122,"M",1,27,"7","2021"
"Acoustic U.S.",0.124,"M",1,27,"7","2021"
"Acoustic U.S.",0.128,"M",1,27,"7","2021"
"Acoustic U.S.",0.132,"M",1,27,"7","2021"
"Acoustic U.S.",0.142,"M",1,28,"7","2021"
"Acoustic U.S.",0.084,"F",1,24,"7","2021"
"Acoustic U.S.",0.084,"F",1,25,"7","2021"
"Acoustic U.S.",0.094,"F",1,25,"7","2021"
"Acoustic U.S.",0.1,"F",1,25,"7","2021"
"Acoustic U.S.",0.102,"F",1,25,"7","2021"
"Acoustic U.S.",0.102,"F",1,25,"7","2021"
"Acoustic U.S.",0.104,"F",1,25,"7","2021"
"Acoustic U.S.",0.112,"F",1,25,"7","2021"
"Acoustic U.S.",0.122,"F",1,25,"7","2021"
"Acoustic U.S.",0.106,"F",1,26,"7","2021"
"Acoustic U.S.",0.114,"F",1,26,"7","2021"
"Acoustic U.S.",0.116,"F",1,26,"7","2021"
"Acoustic U.S.",0.106,"F",1,27,"7","2021"
"Acoustic U.S.",0.118,"F",1,27,"7","2021"
"Acoustic U.S.",0.122,"F",1,27,"7","2021"
"Acoustic U.S.",0.124,"F",1,27,"7","2021"
"Acoustic U.S.",0.132,"F",1,27,"7","2021"
"Acoustic U.S.",0.148,"F",1,28,"7","2021"
"Acoustic U.S.",0.158,"F",1,29,"7","2021"
"Acoustic U.S.",0.194,"F",3,31,"7","2021"
"Acoustic U.S.",0.368,"F",3,39,"7","2021"
"Acoustic U.S.",0.372,"F",3,40,"7","2021"
"Acoustic U.S.",0.534,"F",3,41,"7","2021"
"Acoustic U.S.",0.442,"F",4,42,"7","2021"
"Acoustic U.S.",0.124,"M",1,28,"7","2021"
"Acoustic U.S.",0.108,"F",1,25,"7","2021"
"Acoustic U.S.",1.498,"F",15,61,"7","2021"
"Acoustic U.S.",0.076,"M",1,24,"7","2021"
"Acoustic U.S.",0.09,"M",1,24,"7","2021"
"Acoustic U.S.",0.094,"M",1,25,"7","2021"
"Acoustic U.S.",0.116,"M",1,26,"7","2021"
