Source,Weight_kg,Sex,Age_yrs,Length_cm,Month,Year
ATSEA,0.8,M,10,49,6,2009
ATSEA,0.98,F,8,53,6,2009
ATSEA,0.9,F,8,55,6,2009
ATSEA,0.63,M,5,46,6,2009
ATSEA,0.58,M,10,46,6,2009
ATSEA,0.69,M,10,48,6,2009
ATSEA,0.89,F,10,54,5,2009
ATSEA,0.82,M,14,54,5,2009
ATSEA,0.8,F,10,49,5,2009
ATSEA,0.74,M,6,48,5,2009
ATSEA,0.73,M,8,49,5,2009
ATSEA,0.71,F,10,50,5,2009
ATSEA,0.67,F,10,48,5,2009
ATSEA,0.75,M,13,49,5,2009
ATSEA,0.58,M,8,46,5,2009
ATSEA,0.68,M,9,48,5,2009
ATSEA,0.89,M,10,54,5,2009
ATSEA,0.6,F,6,48,5,2009
ATSEA,0.61,M,5,46,5,2009
ATSEA,0.69,M,11,46,5,2009
ATSEA,0.77,M,10,52,5,2009
ATSEA,0.8,M,10,52,6,2009
ATSEA,0.69,F,4,46,6,2009
ATSEA,0.7,F,10,46,6,2009
ATSEA,0.46,M,4,42,6,2009
ATSEA,0.67,M,6,48,6,2009
ATSEA,0.93,F,10,54,6,2009
ATSEA,0.43,M,10,43,5,2009
ATSEA,0.55,F,4,45,5,2009
ATSEA,0.69,F,10,48,5,2009
ATSEA,0.29,M,3,35,5,2009
ATSEA,0.33,M,3,36,5,2009
ATSEA,0.39,F,3,39,5,2009
ATSEA,0.65,M,7,45,5,2009
ATSEA,0.58,M,4,45,5,2009
ATSEA,0.56,F,4,43,5,2009
ATSEA,0.82,M,13,55,5,2009
ATSEA,0.72,F,10,48,5,2009
ATSEA,0.72,F,6,49,5,2009
ATSEA,0.5,F,5,44,5,2009
ATSEA,0.58,F,10,47,5,2009
ATSEA,0.76,F,5,52,5,2009
ATSEA,0.63,M,10,48,5,2009
ATSEA,0.55,F,10,45,5,2009
ATSEA,0.57,F,4,45,5,2009
ATSEA,0.55,M,4,44,5,2009
ATSEA,0.56,M,6,47,5,2009
ATSEA,0.58,F,6,46,5,2009
ATSEA,0.66,M,5,44,5,2009
ATSEA,0.78,M,10,50,5,2009
ATSEA,0.99,F,10,53,5,2009
ATSEA,0.81,M,6,47,5,2009
ATSEA,0.98,F,6,51,5,2009
ATSEA,1.13,F,10,56,5,2009
ATSEA,0.86,M,6,51,5,2009
ATSEA,0.89,M,8,56,5,2009
ATSEA,1.38,F,10,62,5,2009
ATSEA,0.72,F,10,50,5,2009
ATSEA,0.74,M,10,51,5,2009
ATSEA,0.92,M,11,58,5,2009
ATSEA,0.74,M,11,48,6,2009
ATSEA,0.8,F,10,49,6,2009
ATSEA,0.83,M,10,51,6,2009
ATSEA,0.77,M,10,49,6,2009
ATSEA,0.74,M,10,49,6,2009
ATSEA,0.72,F,6,48,6,2009
ATSEA,0.61,F,10,48,6,2009
ATSEA,0.62,M,6,45,6,2009
ATSEA,0.62,F,6,45,6,2009
ATSEA,0.69,M,8,48,6,2009
ATSEA,0.7,M,10,50,6,2009
ATSEA,0.73,M,9,51,6,2009
ATSEA,0.65,M,10,48,6,2009
ATSEA,0.63,M,10,46,6,2009
ATSEA,0.79,F,10,50,6,2009
ATSEA,0.63,M,8,46,6,2009
ATSEA,0.52,M,4,42,6,2009
ATSEA,0.75,M,6,50,6,2009
ATSEA,0.61,M,6,46,6,2009
ATSEA,0.46,F,4,40,6,2009
ATSEA,0.52,F,4,44,6,2009
ATSEA,0.58,M,10,47,5,2009
