year,num_fish
1985,170
1993,150
1994,43
1997,50
1998,454
1999,1318
2000,50
2001,61
2002,1831
2003,1386
2004,1581
2005,1070
2006,356
2007,208
2008,836
2009,407
2010,445
2011,248
2012,441
2013,226
2014,279
2015,296
2016,554
2017,750
2018,476
2019,327
2020,1438
2022,635
