Sampling_platform,Year,Month,Latitude,Season,Visual Maturity Code,Weight_kg,Length_cm,Age,Certainty ,o_1,o_2,o_3,o_4_1,o_4_2,o_5,o_6,o_7,o_8,o_9,Biological_maturity,Prop_atresia,Spent,Batch_spent,Spawning,POFs Present Y/N,Histology Notes,Data Notes
ASHOP,2015,6,42.68833,summer,NA,0.52,44,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.02,1,1,1,0,1 POF present,
ASHOP,2015,6,44.08,summer,NA,0.44,41,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.02,1,1,1,0,"3 - 4 POFs present, only a few oocytes with early yolk",
ASHOP,2015,5,42.07833,spring,NA,0.49,45,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.02,1,0,1,0,One POF present and 2 hydrated atretic oocytes - residuals,
ASHOP,2015,5,42.09833,spring,NA,0.48,42,5,1,Y,Y,Y,Y,Y,N,N,N,N,N,1,0.02,1,1,0,0,"residuals present from recent batch, could also be recovering from last spawning event",
ASHOP,2015,6,42.95,summer,NA,0.46,43,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.02,1,1,0,0,Appears to be recovering from last spawning event,
ASHOP,2015,6,42.81667,summer,NA,0.39,43,5,0,Y,Y,Y,N,N,N,N,N,N,N,0,0.02,1,1,0,0,"No yolk observed but there was residuals from last spawn, marking uncertain",
ASHOP,2015,6,42.43333,summer,NA,0.49,45,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.02,1,1,0,0,residuals,
ASHOP,2015,6,43.22833,summer,NA,0.52,45,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.02,1,1,0,0,,
ASHOP,2015,6,43.46,summer,NA,0.45,43,3,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.02,1,1,0,0,,
ASHOP,2015,5,42.19833,spring,NA,0.44,43,5,0,Y,Y,Y,N,N,N,N,N,N,N,0,0.02,0,0,0,0,"No yolk or POFs observed, unsure if this would be mature later in the year",
ASHOP,2015,5,42.07,spring,NA,0.44,43,NA,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.02,0,0,0,0,Very early yolk development,
