"NatM_p_1_Fem_GP_1","SR_LN(R0)","SR_BH_steep","Q_extraSD_2_Acoustic_Survey"
0.209916,14.7373,0.838083,0.164332
0.241886,15.0709,0.895167,0.514954
0.222272,15.0066,0.628136,0.470949
0.230352,15.064,0.556447,0.38224
0.23458,14.9716,0.819991,0.49147
0.22715,14.8861,0.71026,0.352478
0.205222,14.7102,0.785106,0.348482
0.210262,14.3502,0.8081,0.343908
0.199411,14.6055,0.899229,0.28441
0.217588,14.7969,0.806738,0.680405
0.245236,15.2391,0.697972,0.377748
0.203417,14.6694,0.856088,0.244004
0.238334,14.7125,0.812183,0.357139
0.249772,15.1365,0.889018,0.425485
0.220918,14.8779,0.895232,0.324734
0.23724,15.0482,0.830815,0.429604
0.226161,14.8425,0.919743,0.335815
0.262546,15.2872,0.802014,0.449877
0.294342,15.6701,0.900956,0.543346
0.253985,15.2664,0.881189,0.330461
0.260576,15.6628,0.456344,0.391817
0.254226,15.2482,0.920878,0.302472
0.249762,15.0522,0.831879,0.454502
0.238729,15.2027,0.676217,0.200722
0.251893,15.2371,0.94785,0.369295
0.231258,14.9753,0.914747,0.640504
0.212952,14.6582,0.874998,0.332427
0.27304,15.3179,0.577768,0.305502
0.199648,14.5968,0.862799,0.369247
0.210017,14.6417,0.88154,0.310828
0.216995,14.8179,0.829657,0.280883
0.251924,14.9778,0.866134,0.558786
0.236667,15.0459,0.78843,0.359763
0.216054,14.8705,0.910378,0.28441
0.24653,14.9627,0.896606,0.453963
0.226777,14.8624,0.826434,0.359682
0.208534,14.8228,0.777004,0.244279
0.210116,14.4741,0.88054,0.558042
0.224868,14.6566,0.896033,0.570563
0.223077,14.8785,0.8755,0.512206
0.217338,14.8534,0.939521,0.432753
0.234667,15.1631,0.910263,0.257169
0.204103,14.6568,0.961523,0.49582
0.222437,14.9306,0.884458,0.685183
0.259225,15.3257,0.700045,0.817147
0.239174,14.9758,0.843736,0.340846
0.242663,14.9765,0.899813,0.633611
0.246228,15.1459,0.867435,0.33593
0.208664,14.6053,0.92494,0.265458
0.224553,14.9208,0.651913,0.302461
0.216903,14.6114,0.80706,0.302025
0.213784,14.6823,0.878981,0.266655
0.181768,14.5273,0.729195,0.297112
0.230744,15.0761,0.529159,0.329511
0.246899,15.2113,0.755354,0.364376
0.218951,14.8343,0.734933,0.209508
0.230402,14.9421,0.849734,0.607802
0.20213,14.5974,0.90889,0.44699
0.271974,15.6524,0.648533,0.34019
0.220601,15.1436,0.636067,0.313344
0.216395,14.8694,0.729497,0.409105
0.196783,14.6737,0.803402,0.240717
0.220911,14.9911,0.782492,0.324784
0.205104,14.7659,0.922321,0.317042
0.219449,14.9077,0.8049,0.380354
0.269325,15.279,0.923479,0.320137
0.250372,15.2323,0.763125,0.462676
0.268708,15.2373,0.897777,0.26496
0.217248,14.8367,0.798602,0.436481
0.237314,15.2207,0.626009,1.18488
0.230181,15.1475,0.762194,0.4586
0.204498,14.5888,0.966092,0.371057
0.2175,14.9629,0.848834,0.493245
0.231687,14.8416,0.866205,0.413002
0.209633,14.8902,0.864093,0.772434
0.238469,15.0918,0.611826,0.41024
0.199747,14.5451,0.880685,0.487355
0.248749,15.153,0.846631,0.374136
0.217602,14.717,0.959805,0.303119
0.189864,14.5073,0.869374,0.409417
0.274999,15.7129,0.53808,0.323847
0.221155,14.9175,0.911764,0.465207
0.26339,15.3879,0.598309,0.532353
0.220094,14.8929,0.733166,0.3804
0.209868,14.6188,0.861475,0.409144
0.239079,15.2873,0.68487,0.764994
0.212464,14.6235,0.903041,0.311019
0.249399,15.1205,0.791691,0.425156
0.201979,14.8417,0.727949,0.441827
0.237975,14.9967,0.904559,0.459024
0.228881,15.2219,0.835608,0.569042
0.215105,14.9472,0.859634,0.424985
0.24772,15.0991,0.847287,0.441284
0.256776,15.052,0.905859,0.344231
0.197668,14.654,0.908613,0.477952
0.216623,14.9163,0.845231,0.326917
0.233342,14.8329,0.92883,0.330543
0.217925,14.7646,0.925828,0.476544
0.193109,14.4043,0.85338,0.377067
0.17936,14.3065,0.926169,0.43533
0.248883,15.0493,0.822348,0.26895
0.238277,15.0039,0.931439,0.392506
0.222929,14.9209,0.950871,0.467151
0.242381,15.1584,0.826785,0.298199
0.228965,15.022,0.67439,0.49635
0.229496,15.0034,0.819926,0.337467
0.215865,14.7136,0.818303,0.475421
0.218845,14.8712,0.823331,0.331734
0.177971,14.3951,0.917493,0.351696
0.216978,14.8866,0.801997,0.439316
0.198321,14.5968,0.811607,0.329624
0.231308,15.1875,0.909876,0.85991
0.216798,14.6312,0.648841,0.249706
0.251007,15.2898,0.810336,0.349032
0.236846,15.0714,0.828646,0.338744
0.213284,14.7232,0.727425,0.286618
0.190285,14.5326,0.92045,0.531385
0.225084,14.8081,0.695389,0.381783
0.236963,15.261,0.608938,0.539027
0.252325,15.4831,0.539056,0.270891
0.23656,14.9072,0.696639,0.230201
0.237624,15.2532,0.833818,0.337388
0.224932,14.7143,0.869031,0.531931
0.207283,14.6826,0.832864,0.234175
0.215254,14.9325,0.617145,0.29032
0.217825,14.7327,0.905231,0.224061
0.235106,15.0748,0.78011,0.58589
0.233026,14.8677,0.705296,0.52001
0.230507,14.8739,0.898671,0.305726
0.199251,14.8139,0.68223,0.321971
0.225268,15.0334,0.627234,0.172846
0.216325,14.693,0.805325,0.51544
0.211102,14.5887,0.644057,0.228988
0.2175,14.8925,0.92758,0.444329
0.194819,14.5339,0.83701,0.437918
0.193553,14.8174,0.744281,0.677877
0.215097,14.773,0.767896,0.282404
0.230347,14.9629,0.925656,0.302468
0.2047,14.6425,0.869064,0.435914
0.231804,15.1033,0.918776,0.525213
0.202514,14.7871,0.787382,0.581718
