"year","lower95","lowerhinge","median","upperhinge","upper95"
"2014",138.9888,283.464,351.1296,425.196,630.936
"2015",115.2144,258.7752,363.9312,464.5152,766.2672
"2016",111.5568,303.5808,385.8768,523.0368,846.7344
"2017",85.9536,265.176,358.4448,466.344,762.6096
"2018",115.2144,291.6936,378.5616,466.344,726.0336
