# From Rebecca Thomas, 23 Feb 2016.
,2015 assessment,,,,,,,,,
Year,Search Radius,kmin,kmax,,,,,,,
1995,0.03,1,10,,,,,,,
1998,0.03,1,10,,,,,,,
2001,0.03,1,10,,,,,,,
2003,0.03,1,10,,,,,,,
2005,0.03,1,10,,,,,,,
2007,0.03,1,10,,,,,,,
2009,0.03,1,10,,,,,,,
2011,0.3,10,30,,,,,,,
2012,0.3,10,30,,,,,,,
2013,0.3,10,30,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,2016 assessment,,,,,,,,,
Year,Search Radius,kmin,kmax,,,,,,,
1998-2015,3* length scale,1,10,,,,,,,
