"Source","Weight_kg","Sex","Age_yrs","Length_cm","Month","Year"
"Acoustic U.S.",0.078,"M",1,24,6,2017
"Acoustic U.S.",0.096,"M",1,24,6,2017
"Acoustic U.S.",0.09,"M",1,25,6,2017
"Acoustic U.S.",0.09,"M",1,25,6,2017
"Acoustic U.S.",0.092,"M",1,25,6,2017
"Acoustic U.S.",0.096,"M",1,25,6,2017
"Acoustic U.S.",0.096,"M",1,25,6,2017
"Acoustic U.S.",0.1,"M",1,25,6,2017
"Acoustic U.S.",0.104,"M",1,25,6,2017
"Acoustic U.S.",0.106,"M",1,25,6,2017
"Acoustic U.S.",0.098,"M",1,26,6,2017
"Acoustic U.S.",0.098,"M",1,26,6,2017
"Acoustic U.S.",0.102,"M",1,26,6,2017
"Acoustic U.S.",0.104,"M",1,26,6,2017
"Acoustic U.S.",0.108,"M",1,26,6,2017
"Acoustic U.S.",0.108,"M",1,26,6,2017
"Acoustic U.S.",0.112,"M",1,26,6,2017
"Acoustic U.S.",0.116,"M",1,26,6,2017
"Acoustic U.S.",0.12,"M",1,26,6,2017
"Acoustic U.S.",0.11,"M",1,27,6,2017
"Acoustic U.S.",0.112,"M",1,27,6,2017
"Acoustic U.S.",0.122,"M",1,27,6,2017
"Acoustic U.S.",0.126,"M",1,27,6,2017
"Acoustic U.S.",0.136,"M",1,27,6,2017
"Acoustic U.S.",0.114,"M",1,28,6,2017
"Acoustic U.S.",0.07,"F",1,22,6,2017
"Acoustic U.S.",0.074,"F",1,24,6,2017
"Acoustic U.S.",0.086,"F",1,24,6,2017
"Acoustic U.S.",0.088,"F",1,24,6,2017
"Acoustic U.S.",0.092,"F",1,24,6,2017
"Acoustic U.S.",0.088,"F",1,25,6,2017
"Acoustic U.S.",0.092,"F",1,25,6,2017
"Acoustic U.S.",0.094,"F",1,25,6,2017
"Acoustic U.S.",0.104,"F",1,25,6,2017
"Acoustic U.S.",0.108,"F",1,25,6,2017
"Acoustic U.S.",0.098,"F",1,26,6,2017
"Acoustic U.S.",0.102,"F",1,26,6,2017
"Acoustic U.S.",0.104,"F",1,26,6,2017
"Acoustic U.S.",0.108,"F",1,26,6,2017
"Acoustic U.S.",0.108,"F",1,26,6,2017
"Acoustic U.S.",0.108,"F",1,26,6,2017
"Acoustic U.S.",0.112,"F",1,26,6,2017
"Acoustic U.S.",0.114,"F",1,26,6,2017
"Acoustic U.S.",0.112,"F",1,27,6,2017
"Acoustic U.S.",0.118,"F",1,27,6,2017
"Acoustic U.S.",0.118,"F",1,27,6,2017
"Acoustic U.S.",0.12,"F",1,27,6,2017
"Acoustic U.S.",0.122,"F",1,27,6,2017
"Acoustic U.S.",0.124,"F",1,27,6,2017
"Acoustic U.S.",0.132,"F",1,27,6,2017
"Acoustic U.S.",0.13,"F",1,28,6,2017
"Acoustic U.S.",0.136,"F",1,28,6,2017
"Acoustic U.S.",0.112,"M",1,25,6,2017
"Acoustic U.S.",0.108,"M",1,26,6,2017
"Acoustic U.S.",0.122,"M",1,26,6,2017
"Acoustic U.S.",0.114,"M",1,27,6,2017
"Acoustic U.S.",0.118,"M",1,27,6,2017
"Acoustic U.S.",0.12,"M",1,27,6,2017
"Acoustic U.S.",0.124,"M",1,27,6,2017
"Acoustic U.S.",0.128,"M",1,27,6,2017
"Acoustic U.S.",0.132,"M",1,28,6,2017
"Acoustic U.S.",0.142,"M",1,28,6,2017
"Acoustic U.S.",0.142,"M",1,29,6,2017
"Acoustic U.S.",0.212,"M",2,32,6,2017
"Acoustic U.S.",0.266,"M",3,35,6,2017
"Acoustic U.S.",0.27,"M",3,36,6,2017
"Acoustic U.S.",0.286,"M",3,36,6,2017
"Acoustic U.S.",0.302,"M",3,37,6,2017
"Acoustic U.S.",0.31,"M",3,37,6,2017
"Acoustic U.S.",0.342,"M",4,37,6,2017
"Acoustic U.S.",0.39,"M",7,39,6,2017
"Acoustic U.S.",0.096,"F",1,24,6,2017
"Acoustic U.S.",0.106,"F",1,26,6,2017
"Acoustic U.S.",0.116,"F",1,27,6,2017
"Acoustic U.S.",0.117,"F",1,27,6,2017
"Acoustic U.S.",0.124,"F",1,27,6,2017
"Acoustic U.S.",0.136,"F",1,27,6,2017
"Acoustic U.S.",0.142,"F",1,27,6,2017
"Acoustic U.S.",0.128,"F",1,28,6,2017
"Acoustic U.S.",0.15,"F",1,28,6,2017
"Acoustic U.S.",0.15,"F",1,28,6,2017
"Acoustic U.S.",0.152,"F",1,28,6,2017
"Acoustic U.S.",0.158,"F",1,29,6,2017
"Acoustic U.S.",0.168,"F",1,29,6,2017
"Acoustic U.S.",0.168,"F",1,30,6,2017
"Acoustic U.S.",0.17,"F",2,30,6,2017
"Acoustic U.S.",0.202,"F",3,31,6,2017
"Acoustic U.S.",0.238,"F",3,34,6,2017
"Acoustic U.S.",0.266,"F",3,35,6,2017
"Acoustic U.S.",0.254,"F",3,36,6,2017
"Acoustic U.S.",0.292,"F",3,37,6,2017
"Acoustic U.S.",0.332,"F",3,37,6,2017
"Acoustic U.S.",0.372,"F",2,38,6,2017
"Acoustic U.S.",0.376,"F",3,38,6,2017
"Acoustic U.S.",0.336,"F",6,39,6,2017
"Acoustic U.S.",0.352,"F",3,39,6,2017
"Acoustic U.S.",0.354,"F",3,39,6,2017
"Acoustic U.S.",0.398,"F",6,39,6,2017
"Acoustic U.S.",0.366,"F",7,40,6,2017
